participant_id,first_name,last_name,department,region,start_date_at_company
1,Desiree,Henry,Training and development officer,Alaska,2021-05-04
2,Richard,Ross,Banker,Arizona,2024-08-26
3,Brian,Holden,Operations geologist,Alabama,2022-07-11
4,Sheila,Oneill,"Administrator, local government",New Mexico,2022-04-13
5,Mitchell,Osborne,Logistics and distribution manager,Tennessee,2022-11-03
6,Shelby,Caldwell,"Restaurant manager, fast food",Washington,2022-10-27
7,Kerri,Johnson,Research scientist (medical),Montana,2020-09-06
8,James,Sanchez,Film/video editor,Utah,2025-03-03
9,Timothy,Oliver,Geophysicist/field seismologist,Missouri,2022-08-29
10,Mary,Jones,Technical sales engineer,Illinois,2022-01-21
11,Holly,Mills,Garment/textile technologist,Georgia,2025-05-17
12,Tamara,Wright,Communications engineer,Oklahoma,2022-12-19
13,Adrian,Burgess,"Surveyor, planning and development",North Carolina,2021-04-17
14,Elizabeth,Velasquez,Commissioning editor,North Carolina,2023-01-21
15,Christine,Olson,Probation officer,Illinois,2024-01-31
16,Tracy,Randolph,Nature conservation officer,South Dakota,2021-11-05
17,Patrick,Barrett,Banker,Kansas,2020-11-10
18,Michele,Robinson,"Designer, graphic",West Virginia,2024-12-08
19,Sonya,Gregory,Advice worker,Hawaii,2023-08-16
20,Jennifer,Poole,Event organiser,Missouri,2025-06-13
21,Lisa,Le,Colour technologist,Louisiana,2022-08-16
22,Christopher,Krueger,Personnel officer,Washington,2021-12-16
23,Jeffery,Burke,"Production assistant, radio",Massachusetts,2023-08-30
24,Mark,Bell,Hydrogeologist,Wisconsin,2024-05-18
25,Jerry,Ramsey,Probation officer,California,2024-01-10
26,Shane,Anderson,Sports development officer,South Dakota,2024-05-22
27,Karen,Obrien,Hydrologist,Kentucky,2021-05-30
28,Barbara,Powell,Database administrator,New Jersey,2024-12-27
29,Cynthia,Martin,Chiropractor,Hawaii,2023-10-25
30,Joseph,Mason,Special educational needs teacher,Kansas,2022-12-30
31,Austin,Morris,Hydrogeologist,New York,2025-03-29
32,Cynthia,Galvan,Public house manager,Minnesota,2021-07-02
33,Kelsey,Lopez,Medical secretary,Georgia,2023-11-16
34,Steve,Johnson,Tree surgeon,Massachusetts,2024-09-18
35,Alexander,Thornton,Secretary/administrator,Alabama,2024-07-14
36,James,French,Ecologist,Florida,2024-02-18
37,Edward,Fisher,"Accountant, chartered public finance",Massachusetts,2024-01-08
38,Erika,Wilson,"Therapist, sports",Rhode Island,2022-05-22
39,Amanda,Miller,Medical sales representative,Texas,2021-07-31
40,Valerie,Shepherd,"Optician, dispensing",Alabama,2023-07-12
41,William,Paul,Armed forces technical officer,Louisiana,2022-09-12
42,John,Allen,"Doctor, general practice",Tennessee,2024-07-12
43,Brian,Thompson,"Investment banker, operational",South Dakota,2022-04-30
44,Sarah,Stephenson,Social worker,Hawaii,2021-01-15
45,Thomas,Johnson,"Social research officer, government",North Dakota,2024-05-30
46,Holly,Mckinney,"Scientist, research (medical)",Pennsylvania,2023-10-12
47,Kristen,Ortiz,Further education lecturer,Massachusetts,2022-05-11
48,Deborah,Webb,"Pharmacist, hospital",Indiana,2022-04-26
49,Rebecca,Warren,"Copywriter, advertising",Colorado,2021-07-27
50,Brian,Cohen,Medical laboratory scientific officer,Delaware,2020-11-14
51,Alicia,Anderson,"Geologist, wellsite",Nevada,2021-09-26
52,Scott,Hutchinson,Chartered accountant,Colorado,2023-05-28
53,David,Richards,"Engineer, maintenance",Idaho,2023-02-03
54,Melissa,Johnson,Broadcast journalist,Indiana,2025-05-25
55,Richard,Cordova,Housing manager/officer,New York,2022-06-10
56,Steven,Kline,Civil Service administrator,Indiana,2023-08-02
57,Kathryn,Weber,"Designer, industrial/product",Colorado,2022-08-22
58,Matthew,Hubbard,Records manager,Michigan,2021-01-28
59,Renee,Hawkins,"Psychologist, forensic",Pennsylvania,2022-05-15
60,Ann,Stone,Legal executive,Vermont,2022-02-05
61,Jamie,Perez,Clinical biochemist,Michigan,2020-08-07
62,Charles,Johnson,Audiological scientist,Pennsylvania,2024-07-21
63,Natalie,Mitchell,Mental health nurse,Illinois,2022-10-21
64,Monica,Clark,Architectural technologist,Louisiana,2021-12-27
65,Scott,Thomas,Gaffer,Virginia,2022-01-08
66,Angela,Cruz,Airline pilot,Washington,2021-11-26
67,Rachel,Hunter,Financial adviser,South Dakota,2022-07-22
68,Dawn,Elliott,Health service manager,Indiana,2020-10-06
69,Elizabeth,Henderson,Youth worker,Delaware,2021-10-16
70,Jennifer,Moore,Archaeologist,Illinois,2023-04-12
71,Michael,Jefferson,"Optician, dispensing",Vermont,2022-06-22
72,Jeffrey,Johnson,Regulatory affairs officer,Nebraska,2025-06-01
73,Brian,Ward,"Designer, ceramics/pottery",Hawaii,2025-01-14
74,Tina,Rodriguez,Risk manager,North Dakota,2021-05-03
75,Vincent,Mendez,Technical author,Rhode Island,2022-12-29
76,Bianca,Stevens,Land,Minnesota,2021-10-15
77,Noah,Stanley,"Journalist, broadcasting",New Hampshire,2022-12-14
78,Kendra,Sloan,Environmental education officer,North Dakota,2024-01-08
79,Diana,Buchanan,Manufacturing systems engineer,Iowa,2021-06-01
80,Rebecca,Young,"Designer, interior/spatial",Georgia,2020-11-14
81,Thomas,Alvarado,"Engineer, technical sales",Maine,2023-12-04
82,Maria,Hensley,Bonds trader,Colorado,2025-02-17
83,Tiffany,Rose,Scientific laboratory technician,California,2024-11-22
84,Richard,Stephens,Product manager,South Dakota,2021-08-05
85,Nicole,Roberts,Volunteer coordinator,Connecticut,2024-02-03
86,Steven,Mann,"Scientist, product/process development",New York,2022-09-21
87,Eric,Santos,Higher education lecturer,New Hampshire,2021-02-09
88,Joshua,Clements,Firefighter,Nevada,2025-01-14
89,Valerie,Shaw,Operational investment banker,Oregon,2025-02-28
90,Tina,Kane,"Psychologist, forensic",Kansas,2020-08-17
91,Brenda,Massey,"Engineer, civil (contracting)",New York,2021-02-23
92,Johnny,Smith,"Designer, interior/spatial",New Hampshire,2022-07-11
93,Christopher,Foster,"Lighting technician, broadcasting/film/video",Connecticut,2022-05-06
94,Jacob,Cochran,"Sales professional, IT",Utah,2020-09-15
95,Jon,Smith,"Sales professional, IT",North Carolina,2025-05-06
96,Jonathan,Garcia,"Engineer, electrical",Mississippi,2025-01-04
97,Erin,Carlson,Special educational needs teacher,Colorado,2023-07-24
98,David,Robinson,Dentist,Oregon,2020-06-18
99,William,Phelps,Trading standards officer,New York,2023-10-19
100,Nicole,Perez,Airline pilot,Massachusetts,2022-08-13
